Season,98Q1,98Q2,98Q3,98Q4,99Q1,99Q2,99Q3,99Q4,100Q1,100Q2,100Q3,100Q4,101Q1,101Q2,101Q3,101Q4,102Q1,102Q2,102Q3,102Q4,103Q1,103Q2,103Q3,103Q4,104Q1,104Q2,104Q3,104Q4,105Q1,105Q2,105Q3,105Q4,106Q1,106Q2,106Q3,106Q4,107Q1,107Q2,107Q3,107Q4,108Q1,108Q2,108Q3,108Q4
全國,6.19,6.45,6.55,6.67,6.8,6.99,7.01,7.11,7.31,7.3,7.29,7.29,7.44,8.05,7.46,7.79,8.35,8.95,8.95,8.37,7.51,8.34,8.39,8.41,8.46,8.69,8.52,8.51,8.46,8.97,9.35,9.32,9.24,9.46,9.22,9.16,9.08,9,8.82,8.57,8.66,8.79,8.47,8.58
新北市,7.99,8.08,8.48,8.72,8.61,9.02,9.29,9.04,9.34,9.96,10.14,10.16,10.33,11.17,11.41,11.37,12.22,12.79,12.9,12.67,12.4,12.8,12.81,12.78,13.02,12.95,12.54,12.66,12.43,12.51,12.7,12.61,12.49,12.7,12.48,12.71,12.75,12.27,12.14,11.85,12.03,11.85,11.66,11.72
台北市,9.74,10.3,10.87,11.57,11.97,12.82,12.96,12.89,12.94,13.63,14.22,13.72,14.47,15.47,15.47,14.8,15.52,15.21,14.88,15.01,14.6,14.25,15.19,15.73,16.16,16.1,15.63,15.75,14.9,15.07,15.47,15.18,15.52,15.64,15.12,14.99,15,15.01,14.07,13.86,14.15,14.45,13.73,13.94
桃園市,5.74,5.86,5.86,5.87,5.88,5.83,5.99,6.16,5.87,5.97,6.12,6.15,6.48,7.29,6.51,6.86,7.34,7.14,6.93,6.95,6.66,7.09,7.24,7.11,7.17,7.9,7.69,7.5,7.62,8.21,8.5,8.58,8.49,8.3,8.22,8.14,8.07,8.12,7.51,7.2,7.39,7.35,7.24,7.26
台中市,6.97,6.82,6.59,6.76,6.43,6.7,6.94,7.58,7.29,7.27,7.33,7.34,7.55,7.82,7.62,8.04,8.37,8.21,8.02,8.14,7.47,8.15,8.3,8.35,8.53,8.83,8.65,8.9,8.87,9.34,9.42,9.75,9.37,9.63,9.43,9.61,9.58,9.3,9.26,9.47,9.74,9.27,9.39,9.8
台南市,5.69,5.57,5.48,5.42,5.5,5.73,5.75,6.06,6.09,6.13,6.14,6.32,6.19,6.61,6.62,6.53,6.45,6.17,6.22,6.35,5.86,6.18,6.49,6.54,6.69,6.8,6.8,6.74,6.96,7.33,7.44,7.42,7.37,7.58,7.34,7.57,7.29,7.2,6.83,6.67,7.04,7.12,6.93,7.19
高雄市,5.91,6.22,6.14,6.15,6.13,5.84,5.94,6.13,6.35,6.14,6.39,6.33,6.46,7.23,6.78,6.84,7.47,7.64,7.62,7.34,7.51,7.64,7.64,7.72,7.88,7.91,7.9,7.87,7.67,8.11,8.61,8.44,8.17,8.5,8.32,8.22,8.16,7.94,7.55,6.98,7.5,7.68,7.09,7.11
宜蘭縣,5.2,5.51,5.31,5.63,5.85,6.23,6.2,6.19,5.93,5.99,5.92,6.34,6.75,6.63,6.47,6.35,6.46,6.53,6.61,6.77,6.36,6.83,7.04,7.12,7.4,7.59,7.39,7.43,7.2,7.73,8.23,8.85,8.43,8.29,8.39,8.02,7.96,8.03,7.97,7.55,7.39,7.31,7.73,7.5
新竹縣,5.71,6.16,6.18,6.1,6.02,5.95,6.21,6.52,6.51,6.72,6.48,6.69,6.88,7.07,6.73,7.1,8.53,8.21,7.89,7.62,7.28,7.18,7.39,7.97,8.25,8.34,8.06,8.04,7.84,8.35,8.72,8.57,8.5,8.74,8.73,8.62,8.19,8.37,8.02,8.15,7.83,8.24,8.1,8.26
苗栗縣,5.83,6.14,6.03,5.86,5.46,5.5,5.66,5.76,5.59,5.4,5.86,5.84,5.8,5.9,6.07,6.18,6.48,6.51,6.53,5.91,5.52,5.65,6.26,6.48,6.64,7.2,7.42,6.86,6.62,6.65,7.38,7.95,7.71,8.03,8.06,7.76,7.45,7.64,8.12,7.83,7.26,7.17,7.53,6.77
